72120,Ashwin Ram|Kinshuk Mishra|Neha Sugandh|Santiago Ontañón,,Soft Computing Applications in Industry,,,,,series/sfsc/2008-226,https://doi.org/10.1007/978-3-540-77465-5_15,,,series/sfsc/OntanonMSR08,2017-05-16,,,293-310,,,,,,Learning from Demonstration and Case-Based Planning for Real-Time Strategy Games.,db/series/sfsc/sfsc226.html#OntanonMSR08,2008,,,,
72121,Lorenzo Peña|Txetxu Ausín,,Soft Computing in Humanities and Social Sciences,,,,,series/sfsc/SeisingG12,https://doi.org/10.1007/978-3-642-24672-2_8,,,series/sfsc/AusinP12,2017-05-16,,,157-172,,,,,,Soft Deontic Logic.,db/series/sfsc/SeisingG12.html#AusinP12,2012,,,,
72122,Mario Fedrizzi|Matteo Brunelli|Michele Fedrizzi,,Recent Developments in the Ordered Weighted Averaging Operators,,,,,series/sfsc/Yager11,https://doi.org/10.1007/978-3-642-17910-5_13,,m,series/sfsc/BrunelliFF11,2017-05-16,,,255-267,,,,,,OWA-Based Fuzzy ,db/series/sfsc/Yager11.html#BrunelliFF11,2011,,,,
72123,Anna Wilbik|Janusz Kacprzyk|Slawomir Zadrozny,0000-0002-6642-0927,Hybrid Intelligent Systems,,,,,series/sfsc/2007-208,https://doi.org/10.1007/978-3-540-37421-3_25,,,series/sfsc/KacprzykZW07,2018-11-02,,,415-433,,,,,,On Linguistic Summaries of Time Series Using a Fuzzy Quantifier Based Aggregation via the Sugeno Integral.,db/series/sfsc/sfsc208.html#KacprzykZW07,2007,,,,
72124,Mesut Yavuz,0000-0003-4522-5804,Production Engineering and Management under Fuzziness,,,,,series/sfsc/Kahraman10,https://doi.org/10.1007/978-3-642-12052-7_4,,,series/sfsc/Yavuz10a,2017-06-09,,,59-75,,,,,,Fuzziness in JIT and Lean Production Systems.,db/series/sfsc/Kahraman10.html#Yavuz10a,2010,,,,
72126,Sundarapandian Vaidyanathan,,Advances in Chaos Theory and Intelligent Control,,,,,series/sfsc/2016-337,https://doi.org/10.1007/978-3-319-30340-6_4,,,series/sfsc/Vaidyanathan16,2017-05-16,,,75-100,,,,,,A Novel 4-D Hyperchaotic Thermal Convection System and Its Adaptive Control.,db/series/sfsc/sfsc337.html#Vaidyanathan16,2016,,,,
72127,Meimei Xia|Zeshui Xu,,Consensual Processes,,,,,series/sfsc/Herrera11,https://doi.org/10.1007/978-3-642-20533-0_15,,,series/sfsc/XiaX11,2017-05-16,,,263-287,,,,,,On Consensus in Group Decision Making Based on Fuzzy Preference Relations.,db/series/sfsc/Herrera11.html#XiaX11,2011,,,,
72128,Cengiz Kahraman|Ihsan Kaya,,Fuzzy Engineering Economics with Applications,,,,,series/sfsc/2008-233,https://doi.org/10.1007/978-3-540-70810-0_8,,,series/sfsc/KahramanK08a,2017-05-16,,,129-143,,,,,,Fuzzy Benefit/Cost Analysis and Applications.,db/series/sfsc/sfsc233.html#KahramanK08a,2008,,,,
72129,Ana del Amo|Daniel Gómez|Greg S. Biging|Javier Montero,0000-0001-8333-2155|0000-0001-9548-5781,Fuzzy Sets and Their Extensions: Representation, Aggregation and Models,,,,,series/sfsc/2008-220,https://doi.org/10.1007/978-3-540-73723-0_23|https://www.wikidata.org/entity/Q57618702,,,series/sfsc/AmoGMB08,2018-11-14,,,453-471,,,,,,Improving Fuzzy Classification by Means of a Segmentation Algorithm.,db/series/sfsc/sfsc220.html#AmoGMB08,,,,
72130,Sundarapandian Vaidyanathan,,Advances in Chaos Theory and Intelligent Control,,,,,series/sfsc/2016-337,https://doi.org/10.1007/978-3-319-30340-6_16,,,series/sfsc/Vaidyanathan16b,2017-05-16,,,377-403,,,,,,A Novel 3-D Circulant Highly Chaotic System with Labyrinth Chaos.,db/series/sfsc/sfsc337.html#Vaidyanathan16b,2016,,,,
72131,Adesh Jinturkar|Avinash Sarode|Prakash Khodke|Sandip Deshmukh|Vivek Sunapwar,,Supply Chain Management Under Fuzziness,,,,,series/sfsc/2014-313,https://doi.org/10.1007/978-3-642-53939-8_3,,,series/sfsc/JinturkarDSSK14,2017-05-16,,,35-59,,,,,,Fuzzy-AHP Approach to Improve Effectiveness of Supply Chain.,db/series/sfsc/sfsc313.html#JinturkarDSSK14,2014,,,,
72132,Li Zhang|Randall E. Duran|Tom Hayhurst,,Marketing Intelligent Systems Using Soft Computing,,,,,series/sfsc/Casillas10,https://doi.org/10.1007/978-3-642-15606-9_9,,,series/sfsc/DuranZH10,2017-05-16,,,49-78,,,,,,Applying Soft Cluster Analysis Techniques to Customer Interaction Information.,db/series/sfsc/Casillas10.html#DuranZH10,2010,,,,
